brand,vineyard,year,value,average_rating,price
Juan Gil,Jumilla Blue Label,2022,Amazing Value!,4.5,29.9
Luis Cañas,Reserva Selección de la Familia,2019,Amazing Value!,4.5,26.49
Tenuta Ulisse,Limited Edition 10 Vendemmie,Unknown Year,Amazing Value!,4.5,29.95
Viña Cobos,Bramare Los Arbolitos Vineyard Chardonnay,2018,Great Value,4.4,29.95
Domaine Comelade,Le Barral Rivesaltes Ambré,1990,No Score,4.4,22.5
Lone Palm Vineyards,Hillside Shiraz,2022,Amazing Value!,4.4,16.99
Caballo Loco,Grand Cru Apalta,2021,Good Value,4.4,26.99
Château Galeteau,Saint-Émilion,2022,Amazing Value!,4.4,18.5
Lou Miranda,Fierce III Sagrantino,2020,No Score,4.4,26.95
Casa La Rad,Alma,2020,Great Value,4.4,29.99
Château de Gourdon,Terrasse à l'Ombre Côtes du Rhône,2022,Amazing Value!,4.4,29.4
Varvaglione,Papale Linea Oro Primitivo di Manduria,2020,Great Value,4.4,25.75
Lou Miranda,Fierce III SGM,2019,Amazing Value!,4.4,26.95
La Rioja Alta,Viña Ardanza Reserva,2017,Great Value,4.4,27.75
San Marzano,60 Sessantanni Old Vines Primitivo di Manduria,2019,Great Value,4.4,26.95
Winbirri Vineyards,Bacchus,2023,Amazing Value!,4.4,17.49
Depasso,Leggermente Appassito Nero d'Avola,2023,Great Value,4.3,12.95
Varvaglione,Papale Linea Oro Primitivo di Manduria,2019,Good Value,4.3,28.83
Meerlust,Rubicon,2018,Good Value,4.3,29.95
Domaine de Lispaul,Pouilly-Fumé,2023,Great Value,4.3,19.99
Cantina Diomede,Canace Nero di Troia,2021,Good Value,4.3,21.95
Caballo Loco,Grand Cru Maipo,2020,Good Value,4.3,27.4
Montresor,Amarone della Valpolicella,2021,Good Value,4.3,29.99
Citizen Wine,Let it Bee Organic Red Blend,2023,Amazing Value!,4.3,10.99
Grangehurst,Cabernet Sauvignon - Merlot,2009,Good Value,4.3,25.99
Tenute Ca' Botta,Tenuta Costa Rossa Valpolicella Ripasso Superiore,2017,Great Value,4.3,24.45
Caballo Loco,Grand Cru Apalta,2022,Good Value,4.3,27.45
El Enemigo,Cabernet Franc,2019,Great Value,4.3,22.99
Tinazzi,Ca' de' Rocchi Valpolicella Ripasso Superiore Monterè,2021,Great Value,4.3,19.99
Château Barrabaque,Cuvée Hugo Canon-Fronsac,2019,Amazing Value!,4.3,16.5
Lou Miranda,Fierce III Shiraz,2019,Great Value,4.3,24.99
HPF1855 - Hermanuspietersfontein,Swartskaap,2019,Great Value,4.3,28.55
Masseria Borgo dei Trulli,Mirea Primitivo di Manduria,2022,Fair Value,4.3,23.95
Guerrieri,Guerriero del Mare,2022,Great Value,4.3,29.5
Domaine de Puy Redon,Chardonnay,2017,Great Value,4.3,29.99
Spioenkop,Sarah Raal,2020,Great Value,4.3,24.99
Domaine Hippolyte Reverdy,Sancerre Rosé,2022,Amazing Value!,4.3,24.99
Natte Valleij,Axle Chenin Blanc,2023,Great Value,4.3,24.99
Winshaw Vineyards,Charles Winshaw,2019,Great Value,4.3,29.99
Terre Paisible - Vigne d'Or,Les Dames de 87 Old Vine Sauvignon Blanc,2023,Great Value,4.3,29.99
